"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"crossing_anom[59]",-1.55694328084467,-1.41406145,1.0233167630758,1.40817992931,-3.31939579,-0.2746060785,1.00037369813165,6845.62574726289,5722.62150588347
"crossing_anom[60]",-2.59927262924817,-2.29446655,0.788133957006543,0.39360250125,-4.04684969,-1.79712492,0.999836158828651,7133.47895638652,3831.86719219138
"eta[1]",126.984862503333,126.97983,2.6619303829863,2.59546179899999,122.621655,131.2878955,1.00187174213457,5609.16015263152,4381.59311547045
"eta[2]",136.449442985,136.220055,2.6957959929957,2.63269729799999,132.3604625,141.233295,1.00033517074602,6685.62056641117,4551.68075724943
"eta[3]",138.684827078333,138.69256,2.19699215957511,2.209348281,135.050296,142.2961965,1.00112398421057,6043.951565087,3771.8721579653
"eta[4]",134.133364493333,134.189695,2.33407734706931,2.31405690599998,130.3458935,137.8555125,1.00031426672411,6665.17374510096,4492.41642669808
"eta[5]",128.455002786667,128.542835,2.36079635143916,2.302240584,124.3301265,132.112536,1.00121268892376,5514.6691611066,4279.6458657955
"eta[6]",129.708925216667,129.85411,1.98920255294464,2.10857595899999,126.307074,132.791825,1.00036208510328,4254.48336818254,4332.03176994148
"eta[7]",137.709256173333,137.479425,2.04541056680744,1.978047855,134.725875,141.3296095,1.00035351764109,6202.15542407679,4268.2315693154
"eta[8]",136.733565303333,136.74207,1.36288131965018,1.33803167400002,134.474073,138.992154,1.00008045687519,6175.14580809761,4602.5872387461
"eta[9]",137.243366461667,137.27302,1.94993691962542,1.96793652300002,134.043261,140.443607,1.00148274041786,5859.44318894648,4015.9087676407
"eta[10]",134.799419766667,134.526725,2.08570288763691,2.16008889599999,131.754938,138.5473685,1.0003758486807,5535.74280501778,4510.36414535993
"eta[11]",133.946474808333,133.83593,2.44201711398309,2.38781625599999,130.1831095,138.117321,1.00087210149556,5929.37381994345,4192.39709982471
"eta[12]",137.10659568,137.10355,1.46849599448194,1.47692164199999,134.7250335,139.4774835,1.00061395848486,6019.64432184349,4447.9642747122
"eta[13]",131.731470193333,131.71623,1.55670787232787,1.55140005300001,129.1741895,134.3280955,0.999848227612269,5685.28918330444,4144.19540181687
"eta[14]",133.493468413333,133.46918,2.50240840881632,2.45734278300002,129.467793,137.577082,1.00068068239373,6620.52029863205,4347.23009645764
"eta[15]",123.240120598333,123.27915,1.65825806665592,1.61226819600001,120.428722,125.863175,1.00047419428119,5532.56317165422,4531.63184840242
"eta[16]",116.893729171667,116.883925,1.84582233229228,1.84346484,113.875626,119.912411,1.00046829034831,5723.8923436931,4126.62288354478
"eta[17]",125.318051945,125.346275,2.55617285538243,2.487039261,121.1239055,129.546321,1.00026991543538,5152.54996525152,4116.35533869769
"eta[18]",127.8397888,127.841185,1.84433012600497,1.847808858,124.795584,130.8220715,0.999828212149089,4904.16831267283,4853.65633024796
"eta[19]",120.986830738333,121.01178,2.46887374634786,2.46801750299999,116.9380195,125.1126545,1.00027241819285,5355.32306655042,4282.12420716027
