Latitude & Longitude in Decimal Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identification Information,LATITUDE,LONGITUDE,IES Project #(s),Comments (colored rows = coords in Fld Res Database),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROXIMITY,,,,,SYMBOL,;waypts
A. Townsend,N41.813050,W073.801367,2310,"4-poster feeder location, Tompkins Farm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Townsend,N41.814450,W073.803567,2310,"4-poster feeder location, Tompkins Farm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G/N isotope tree,N41.791888,W073.758583,1610,labelled oak tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Munzer plot,N41.792167,W073.758500,1590,center of chestnut plantings plot (G/N area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793305,W073.759000,2040,turkey holding pen/cage near north G/N gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793917,#NAME?,2040,turkey fenced plot (center of black plastic fenced plot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793777,W073.761693,2040,turkey fenced plot (center of black plastic fenced plot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793305,W073.762193,2040,turkey fenced plot (center of black plastic fenced plot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793027,W073.762333,2040,turkey fenced plot (center of black plastic fenced plot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793388,W073.762527,2040,turkey fenced plot (center of black plastic fenced plot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Lewis turkey/tick,N41.793610,W073.762443,2040,turkey fenced plot (center of black plastic fenced plot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobzack/Findlay,N41.784443,W073.734693,1890,gravel bar S of south bridge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Stelzer et al,N41.790000,W073.749167,2290,downstream of jct of E B & Rosie Smith tributary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Stelzer et al,N41.784083,W073.749167,2290,downstream of jct of E B & Rosie Smith tributary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Stelzer et al,N41.791667,W073.749167,2290,downstream of jct of E B & Rosie Smith tributary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Stelzer et al,N41.791667,W073.749167,2290,downstream of jct of E B & Rosie Smith tributary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNN's Plot,N41.788184,W073.736340,1750,soil pit grid 624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Ostfeld/Manson,N41.783605,W073.738140,1730," SE corner of 3-sided vole fence, sweetgums",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Manson,N41.783734,W073.739143,1730," SW corner of vole fence,sweetgums",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.783154,W073.740505,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.783047,W073.740001,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.783181,W073.741922,390, Bluebird nest box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.793068,W073.744421,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.798330,W073.746868,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.796683,W073.747694,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.793636,W073.747898,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.792124,W073.748096,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Manson,N41.801989,W073.740468,1730, SE cor vole fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Manson,N41.800964,W073.741037,1730, SW cor vole fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Manson,N41.800524,W073.740597,1730, NW cor vole fence2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld/Manson,N41.800728,W073.739669,1730, NE cor vole fence2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.801179,W073.739288,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.798969,W073.740736,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.788556,W073.739937,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.787553,W073.740473,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.786824,W073.740425,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.787323,W073.742608,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.787028,W073.745183,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.790434,W073.747715,390, Bluebird box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canham/Berkowitz,N41.783889,W073.749952,1070,Fenced Plot grid 291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canham/Berkowitz,N41.785686,W073.744904,1070,Fenced Plot grid 429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.789002,W073.743354,390,Bluebird box grid 439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld,N41.789077,W073.742785,1730,SW cor vole fence Fowler rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld,N41.789511,W073.742796,1730,Mid pt of W side vole fence Fowler rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld,N41.789828,W073.742855,1730,NW cor vole fence Fowler rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.783294,W073.750360,390, Bluebird box grid 257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.784812,W073.751191,390, Bluebird box grid 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Bird Club,N41.787811,W073.752795,390, Bluebird box grid 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld,N41.788953,W073.753021,1260, SW cor vole fence lowland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostfeld,N41.789007,W073.752527,1260, SE cor vole fence lowland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
