Grid,Day.1,Day.2,Day.3,Year,Week,MNA,Sample.Size,Full.(birth.and.death),Heterogeneous.survival,Date,spec
Tea Experimental,44082,44083,NA,2020,1522,NA,90,NA,NA,9/8/20,TS
Green Control,44425,44426,NA,2021,1571,14,11,13.82,13.91,8/17/21,TS
Green Control,44448,44449,NA,2021,1574,12,11,NA,NA,9/9/21,TS
Green Experimental,44427,44428,NA,2021,1571,21,21,20.78,20.78,8/19/21,TS
Green Experimental,44453,44454,NA,2021,1575,19,12,NA,NA,9/14/21,TS
Henry Control,44411,44412,NA,2021,1569,21,16,20.11,19.86,8/3/21,TS
Henry Control,44431,44432,NA,2021,1572,19,16,NA,NA,8/23/21,TS
Henry Experimental,44413,44414,NA,2021,1569,14,11,13.09,12.91,8/5/21,TS
Henry Experimental,44434,44435,NA,2021,1572,11,8,NA,NA,8/26/21,TS
Tea Control,44418,44419,NA,2021,1570,6,4,6.88,7.08,8/10/21,TS
Tea Control,44446,44447,NA,2021,1574,7,6,NA,NA,9/7/21,TS
Tea Experimental,44420,44421,NA,2021,1570,16,12,17.55,17.12,8/12/21,TS
Tea Experimental,44439,44440,NA,2021,1573,11,7,NA,NA,8/31/21,TS
Green Control,44789,44790,NA,2022,1623,15,NA,NA,NA,8/16/22,TS
Green Control,44817,44818,NA,2022,1627,12,NA,NA,NA,9/13/22,TS
Green Experimental,44791,44792,NA,2022,1623,35,NA,NA,NA,8/18/22,TS
Green Experimental,44811,44812,NA,2022,1626,31,NA,NA,NA,9/7/22,TS
Henry Control,44777,44778,NA,2022,1621,14,NA,NA,NA,8/4/22,TS
Henry Control,44798,44799,NA,2022,1624,12,NA,NA,NA,8/25/22,TS
Henry Experimental,44775,44776,NA,2022,1621,32,NA,NA,NA,8/2/22,TS
Henry Experimental,44796,44797,NA,2022,1624,30,NA,NA,NA,8/23/22,TS
Tea Control,44782,44783,NA,2022,1622,12,NA,NA,NA,8/9/22,TS
Tea Control,44805,44806,NA,2022,1625,13,NA,NA,NA,9/1/22,TS
Tea Experimental,44784,44785,NA,2022,1622,13,NA,NA,NA,8/11/22,TS
Tea Experimental,44803,44804,NA,2022,1625,17,NA,NA,NA,8/30/22,TS
